predicted_train_x;predicted_train_y
11.052237;0.21357109
10.520078;-0.15023787
8.45851;-0.019648686
15.832649;-0.13703413
8.2412615;0.11425944
5.6440372;0.031927004
10.5712;0.3669416
9.423617;0.14433731
13.991649;-0.10172262
9.728023;-0.092961475
10.260816;0.31444943
11.500092;0.41505092
7.752244;0.17559661
11.152668;-0.011133774
13.836684;0.10997872
8.86719;0.15606336
10.725768;0.008908139
11.34311;0.22360952
9.992584;0.05893649
7.1298165;-0.18885793
12.111383;-0.14358233
10.261638;-0.06488229
11.511121;0.08700378
13.183694;0.3056771
10.801785;0.3885649
17.792072;0.04573676
9.016789;-0.19963099
12.419083;-0.13847737
13.347699;-0.44829646
9.723783;0.009949909
10.330747;-0.09793468
11.808467;0.02898185
10.905545;0.15457062
8.950358;0.08895536
10.581391;-0.05133356
10.9544115;0.32121208
10.098435;0.48321274
13.398454;-0.047673628
11.841319;0.13960104
12.846278;0.1271229
12.873505;0.009078876
9.7316885;-0.08972265
10.81549;0.38280332
11.221448;-0.19164467
7.266672;0.13977452
13.51875;-0.081811085
13.457831;0.075622335
12.274522;-0.27975705
8.760947;0.11981638
11.603529;0.17237844
14.648412;-0.10467516
11.190305;-0.10064764
14.2396;-0.41447473
12.131173;-0.44090724
7.238098;0.21323143
12.344014;-0.4804237
10.27981;-0.1861146
12.24093;-0.171744
12.0834055;0.06506257
10.80539;-0.20920397
8.16744;-0.17896558
10.394068;-0.095816344
10.067613;0.075973555
9.862042;0.62514013
10.323468;-0.028482065
12.540509;0.020384923
8.816985;0.2812542
10.122859;0.28250018
11.913847;-0.14505892
9.929147;-0.05036302
9.415166;0.20268567
10.333985;-0.04269387
14.257316;0.14973627
13.578942;0.16769026
11.575721;0.14778578
11.671096;-0.0934547
10.004575;0.012276457
9.72568;-0.107915
9.828465;0.59019095
12.123393;0.13064949
12.565856;-0.056861773
10.135389;-0.77442825
10.881814;0.033166453
9.001251;0.20198946
9.801055;-0.024959251
8.803876;0.16668828
12.889653;0.012834684
11.737639;-0.08737765
11.398922;0.25188714
10.543327;0.0008667568
10.477966;-0.19841076
12.870166;0.010703341
